Nama Wilayah,Longitude,Latitude,Y,X1,X2,X3,X4,X5,X6,X7
Ciamis,108.3493,-7.3321,8.98,19.328,17.49,98.47,62.41,56.15,65.87,13.5873
Kepulauan Seribu,106.5072,-5.7985,11.4,268.16,20.84,100,57.85,32.4,64.59,11.897
Kota Jakarta Selatan,106.8079,-6.2627,3.41,202.83,9.87,100,43.65,6.67,71.78,13.0941
Kota Jakarta Timur,106.8995,-6.2249,3.24,121.91,15.41,99.4,44.98,9.7,71,13.0762
Kota Jakarta Pusat,106.8279,-6.1801,4.16,531.56,5.86,100,46.89,17.16,71.64,12.9646
Kota Jakarta Barat,106.7633,-6.1675,3.64,133.5,9.95,100,44.22,4.75,72.27,12.5977
Kota Jakarta Utara,106.8926,-6.1555,5.91,216.31,18.07,99.49,47.01,18.68,72,12.4173
Bogor,106.6291,-6.5518,8.96,30.786,41.72,97.44,55.54,26.97,65.78,11.8303
Sukabumi,106.9536,-6.8649,8.96,19.2829,12.7,100,60.86,50.29,64.07,12.1288
Cianjur,107.1957,-7.358,12.21,14.4167,23.86,98.95,63.97,68.03,64.37,11.8309
Bandung,107.6215,-7.1341,8,24.2266,15.25,100,57.68,55.7,66.06,12.1341
Garut,107.7636,-7.5012,12.81,15.9551,27.62,100,62.45,73.76,62.69,11.6516
Tasikmalaya,108.1429,-7.6513,11.99,14.7847,25.43,100,63.67,64.75,64.34,12.4359
Kuningan,108.5701,-7.0138,13.97,16.0948,21.33,99.54,60.34,61.29,65.54,12.0266
Cirebon,108.4751,-6.6899,14.77,16.807,33.9,99.69,60.63,84.74,67.79,11.7873
Majalengka,108.2852,-6.7791,14.19,18.0124,18.37,100,59.94,73.04,66.93,11.7387
Sumedang,107.9532,-6.8329,11.36,21.8349,18.42,100,59.14,53.31,67.09,12.9011
Indramayu,108.3258,-6.3373,14.98,38.6533,48.28,96.57,61.07,83.09,67.79,12.0934
Subang,107.7636,-6.3488,12.27,19.1632,31.68,99.28,58.33,69.68,68.33,11.4615
Purwakarta,107.4322,-6.5649,9.14,54.3802,39.6,100,55.85,39.56,66.41,11.4355
Karawang,107.3376,-6.3227,10.37,73.5037,34.85,98.94,56.61,61.81,68.12,11.689
Bekasi,107.1485,-6.2474,5.27,75.7863,35.29,97.59,54.17,26.33,69.05,11.9298
Bandung Barat,107.492,-6.8652,12.67,20.8611,7.92,100,60.51,60.59,65.16,11.3949
Kota Bogor,106.806,-6.5971,7.6,30.8848,12.83,100,49.77,33.57,68.85,12.3616
Kota Sukabumi,106.93,-6.9277,8.79,28.2013,18.13,100,54.06,24.14,67.74,13.2399
Kota Bandung,107.6191,-6.9175,4.61,78.8946,20.52,100,47.44,26.12,70.78,13.6335
Kota Cirebon,108.5523,-6.732,10.36,54.3226,17.46,98.72,54.57,51.3,69.03,12.9428
Kota Bekasi,106.9756,-6.2383,5.46,26.0662,6.46,100,46.54,19.37,71.52,13.3592
Kota Depok,106.7942,-6.4025,2.4,23.0438,17.95,100,45.86,11.12,70.23,13.5353
Kota Cimahi,107.5413,-6.8841,5.84,38.6079,2.08,100,49.46,24.36,70.17,13.7323
Kota Tasikmalaya,108.2172,-7.3506,16.28,23.1752,12.54,99.62,53.28,59.32,66.9,13.369
Kota Banjar,108.5342,-7.3707,7.41,18.3541,15.82,100,58.05,56.55,67.65,12.9534
Cilacap,108.9027,-7.6178,14.39,58.34,34.27,97.65,56.7,70.17,65.5057,12.2843
Banyumas,109.1404,-7.4832,17.52,23.72,37.89,99.71,56.38,71.31,66.6007,12.5708
Purbalingga,109.4259,-7.3059,19.7,20.51,36.36,99.02,56.68,81.72,65.2102,11.7819
Banjarnegara,109.6163,-7.3794,18.37,17.58,34.74,97.47,58.76,67.55,66.2592,11.3869
Kebumen,109.6525,-7.6681,20.44,17.54,26.17,98.44,58.32,78.33,63.399,12.4887
Purworejo,109.9989,-7.6965,14.27,19.52,29.43,97.84,56.82,53.56,65.0087,13.038
Wonosobo,109.9002,-7.3632,21.45,18.19,40.34,97.2,55.12,80.62,66.1607,11.4344
Magelang,110.2832,-7.4305,13.07,29.39,28.12,97.81,58.05,69.93,66.6528,12.1353
Boyolali,110.6884,-7.4318,12.45,24.46,35.6,94.97,53.92,44.54,66.0969,12.1277
Klaten,110.6646,-7.6579,14.89,25.02,36.43,96.66,54.32,72.56,67.4368,12.8368
Sukoharjo,110.8553,-7.6484,9.26,30.9,27.96,97.04,51.22,39.71,68.1132,13.421
Wonogiri,111.046,-7.8846,12.98,22.75,36.98,94.13,56.76,61.83,65.6665,12.4193
Karanganyar,111.046,-7.6387,12.46,31.42,35.21,94.78,53.25,43.5,67.0929,13.2687
Sragen,111.0092,-7.4303,14.86,31.07,42.29,92.25,52.53,49.86,66.3576,12.2116
Grobogan,110.9507,-7.1542,13.68,14.93,30.38,98.6,62.76,71.02,66.714,12.2496
Blora,111.3799,-7.0122,13.52,19.21,49.15,89.79,59.38,82.64,67.641,11.9093
Rembang,111.4276,-6.8082,19.28,22.45,31.88,97.29,59.7,82.48,68.5285,12.0201
Pati,111.046,-6.745,11.95,25.36,36.42,96.58,55.62,80.6,68.5499,11.7893
Kudus,110.8791,-6.7726,7.73,101.2,23.91,96.82,51.66,67.77,69.4193,13.139
Jepara,110.6787,-6.5827,8.5,18.6,44.06,96.8,56.67,77.38,66.5159,12.2687
Demak,110.6646,-6.9239,14.44,17.29,33.22,95.67,57.75,80.11,67.2657,12.4259
Semarang,110.4739,-7.1765,8.15,36.35,36.06,97.49,55.26,47.73,87.406,12.8195
Temanggung,110.0892,-7.2749,11.76,21.64,40.21,97.26,54.33,52.24,66.9368,11.8892
Kendal,110.1879,-7.0265,11.62,32.85,41.98,93.86,55.26,36.31,68.2149,12.4143
Batang,109.9021,-7.0392,11.27,21.41,39.17,95.88,59.15,73.43,68.1732,11.085
Pekalongan,109.6163,-7.0517,12.84,19.23,22.77,99.54,58.65,71.25,66.388,11.9976
Pemalang,109.4259,-7.0599,18.3,14.35,43.44,97.26,60.68,82.89,64.8661,11.86
