Nama Wilayah;latitude;longitude;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9
Simeulue;2.583333;96.083333;1648096;18.98;9.48;7148;66.41;65.28;71.56;87.45;5.71;71.15
Aceh Singkil;2.3589459;97.87216;1780419;20.36;8.68;8776;69.22;67.43;69.56;78.58;8.36;62.85
Aceh Selatan;3.3115056;97.3516558;4345784;13.18;8.88;8180;67.44;64.4;62.55;79.65;6.46;60.85
Aceh Tenggara;3.3088666;97.6982272;3487157;13.41;9.67;8030;69.44;68.22;62.71;86.71;6.43;69.62
Aceh Timur;5.255443;95.9885456;8433526;14.45;8.21;8577;67.83;68.74;66.75;83.16;7.13;59.48
Aceh Tengah;4.4482641;96.8350999;5953118;15.26;9.86;10780;73.37;68.86;90.58;90.1;2.61;76.3
Aceh Barat;4.4542745;96.1526985;7485861;18.81;9.55;9593;71.67;67.99;89.6;94.22;7.09;60.05
Aceh Besar;5.4529168;95.4777811;10261585;14.05;10.33;9644;73.58;69.79;87.4;82.36;7.7;61.67
Pidie;5.0742659;95.940971;7975099;19.59;9;9860;70.7;66.95;54.1;89.24;7.28;60.29
Bireuen;5.18254;96.89005;10374480;13.25;9.29;8867;72.33;71.26;81.89;93.53;4.32;65.91
Aceh Utara;4.9786331;97.2221421;16924103;17.43;8.64;8201;69.46;68.81;79.97;91.09;8.31;58.47
Aceh Barat Daya;3.0512643;97.3368031;3069805;16.34;8.67;8428;66.99;65.06;65.71;95.34;4.04;57.91
Gayo Lues;3.955165;97.3516558;1981879;19.64;8.4;8856;67.56;65.53;47.63;84.68;1.84;78.99
Aceh Tamiang;4.2328871;98.0028892;6062520;13.34;8.91;8367;69.48;69.63;87.45;83.12;5.87;66.43
Nagan Raya;4.1248406;96.4929797;7110421;18.23;8.69;8292;69.31;69.24;74.86;90.13;4.99;64.99
Aceh Jaya;4.7873684;95.6457951;2033844;13.23;8.71;9666;69.84;67.19;81.6;86.36;3.47;72.59
Bener Meriah;4.7748348;97.0068393;3744095;19.16;10;11118;73.27;69.26;86.69;89.71;1.24;77.53
Pidie Jaya;5.1548063;96.195132;2635517;19.55;9.34;10290;73.6;70.18;74.3;93.46;3.57;57.77
Kota Banda Aceh;5.55;95.3166667;15454371;7.61;12.83;16891;85.71;71.52;99.88;99.37;8.94;63
Kota Sabang;5.8946929;95.3192982;1152875;15.32;11.18;11378;76.11;70.56;92.25;96.18;3.56;63.71
Kota Langsa;4.48;97.9633333;3974614;10.96;11.12;12067;77.44;69.43;91.81;97.14;7.21;67.04
Kota Lhokseumawe;5.1880556;97.1402778;7252905;11.16;11.11;11390;77.57;71.64;93.1;94.44;11.16;63.91
Kota Subulussalam;2.6449927;98.0165205;1438997;17.65;8.03;7385;65.27;64.07;69.71;60.87;6.26;63.78
Nias;-8.1712591;113.7111274;2666855;16.82;5.64;6995;62.74;69.78;19.93;47.79;3.12;81.79
Mandailing Natal;0.7432372;99.3673084;9585899;9.49;8.63;9771;67.19;62.65;35.73;73.78;6.12;69.79
Tapanuli Selatan;1.5774933;99.2785583;10036712;8.8;9.29;11304;70.33;64.97;46.41;67.39;4;74.38
Tapanuli Tengah;1.8493299;98.704075;7149285;12.67;8.84;10138;69.61;67.24;57.56;68.81;7.24;75.05
Tapanuli Utara;2.0405246;99.1013498;6058350;9.72;9.99;11710;73.76;68.76;83.79;89.06;1.54;82.63
Toba Samosir;2.3502398;99.2785583;5649103;8.99;10.57;12224;75.39;70.29;89.54;95.04;0.83;80.38
Labuhan Batu;2.3439863;100.1703257;24147560;8.74;9.25;11212;72.09;69.95;81.5;94.34;5.66;61.84
Asahan;2.8174722;99.634135;27279586;9.35;8.8;11030;70.49;68.37;89.09;95.78;6.39;63.02
Simalungun;2.9781612;99.2785583;28648781;8.81;9.61;11376;73.4;71.37;91.75;99.74;4.17;72.55
Dairi;2.8675801;98.265058;6641674;8.31;9.59;10504;71.84;69.19;92.35;91.9;1.49;85.73
Karo;3.1052909;98.265058;14582333;8.79;10;12412;74.83;71.58;84.33;91.43;1.95;84.56
Deli Serdang;3.4201802;98.704075;72173623;4.01;10.1;12291;75.53;71.77;96.37;98.18;9.13;66.78
Langkat;3.8653916;98.3088441;30247389;10.12;8.66;11142;71.35;68.97;80.76;92.51;5.12;69.12
Nias Selatan;0.7086091;97.8286368;4332626;16.92;6.06;7041;62.35;68.86;13.14;66.21;3.91;72.25
Humbang Hasundutan;2.1988508;98.5721016;4219138;9.65;9.71;8016;69.41;69.51;91.65;91.95;1.94;84.17
Pakpak Bharat;2.545786;98.299838;872403;9.35;9.14;8254;67.94;65.96;90.14;70.69;1.36;87.7
Samosir;2.5833333;98.8166667;3162101;12.68;9.44;8504;70.83;71.41;91.09;65.64;0.7;84.38
Serdang Bedagai;3.3371694;99.0571089;19863243;8.3;8.69;11017;70.56;68.82;93.19;98.14;3.93;66.75
Batu Bara;3.1740979;99.5006143;24486056;12.38;8.07;10539;68.58;67.13;88.04;97.83;6.62;70
Padang Lawas Utara;1.5758644;99.634135;8593639;9.92;9.38;10055;70.11;67.22;67.17;77.58;3.19;76.82
Padang Lawas;1.1186977;99.8124935;8362135;8.69;9.02;8921;68.64;67.13;59.62;77.84;4.07;75.23
Labuhan Batu Selatan;1.8799353;100.1703257;19620408;8.53;8.9;11562;71.69;68.81;84.85;84.66;4.71;66.38
Labuhan Batu Utara;2.3465638;99.8124935;17969257;10.02;8.41;11840;71.87;69.56;79.75;86.75;5.74;65.73
Nias Utara;1.33037;97.31964;2417196;25.66;6.77;6155;62.82;69.55;46.09;58.17;3;74.27
Nias Barat;1.05966;97.58606;1285664;26.42;6.69;5924;61.99;69.08;38.02;71.52;0.74;82.08
Kota Sibolga;1.7403745;98.7827988;3595704;12.33;10.41;11540;73.94;69.25;32.33;92.4;8.72;71.19
Kota Tanjung Balai;2.965122;99.800331;5898808;13.4;9.45;11225;68.94;63.44;89.07;87.2;6.59;66.57
Kota Pematang Siantar;2.96;99.06;9547698;8.52;11.29;12436;79.17;73.77;88.49;99.78;11;68.8
Kota Tebing Tinggi;3.3856205;99.2009815;4024777;10.3;10.44;12939;75.42;70.95;95.88;99.35;8.37;67.19
Kota Medan;3.585242;98.6755979;157689187;8.34;11.48;14999;81.21;73.23;92.71;98.8;10.81;62.16
Kota Binjai;3.594462;98.482246;8162776;5.81;10.94;11063;76.01;72.45;95.21;99.76;7.86;62.77
Kota Padangsidimpuan;1.380424;99.273972;4346777;7.53;11.09;10965;75.48;69.5;51.33;54.13;7.18;68.69
Kota Gunungsitoli;1.281964;97.61594;3519128;16.45;8.62;8134;69.61;71.32;45.13;74.11;4.8;62.95
Kepulauan Mentawai;-1.426001;98.9245343;3041549;14.84;7.2;6321;61.35;64.73;71.05;55.46;2.79;82.57
Pesisir Selatan;-1.7223147;100.8903099;9790360;7.92;8.27;9270;70.03;70.96;71.4;76.23;5.97;66.59
Solok;-0.964384;100.89031;10119822;8.01;7.87;10215;69.24;68.79;47.63;78.09;4.67;71.21
Sijunjung;-0.6881586;100.997658;6893214;6.8;8.12;10389;67.86;66.36;72.63;64.12;3.57;70.06
Tanah Datar;-0.4797043;100.5746224;9891020;4.54;8.62;10616;72.46;70.12;53.73;86.5;4.63;66.88
Padang Pariaman;-0.5546757;100.2151578;12199848;7.22;7.88;11050;70.76;68.97;55.86;86.09;8.41;64.64
Agam;-0.2209392;100.1703257;14939509;6.85;8.97;9662;72.57;72.53;77.25;87.46;5.06;66.49
Lima Puluh Kota;3.168216;99.4187929;11430548;7.29;8.07;9668;69.68;69.84;55.69;68.93;2.25;71.33
Pasaman;0.1288752;99.7901781;6330067;7.48;8.1;8440;66.77;67.59;45.26;82.57;4.92;69.35
Solok Selatan;-1.4157329;101.2523792;4059515;7.52;8.32;10367;69.23;68.01;58.57;81.01;4.84;72.11
